Task Type,Feature Set,Num Features,Model,Accuracy,Train Time (s),Prediction Time (s),F1-Score (Binary),AUC-ROC (Binary),Specificity (Binary),F1-Score (Macro MC),AUC-ROC (Macro OvR MC)
binary,rf_top_10_features,10,Logistic Regression,0.905707313606103,2.467,0.019,0.9375823348597955,0.8544110062404918,0.8337,,
binary,rf_top_10_features,10,KNN,0.9968016299841266,0.72,6.83,0.9979037592583966,0.998168150206464,0.9941,,
binary,rf_top_10_features,10,Decision Tree,0.9964462555379184,0.677,0.009,0.9976695046920638,0.996415293861964,0.9952,,
binary,rf_top_10_features,10,Random Forest,0.9973228458385652,5.037,0.077,0.9982449873421654,0.9998501723120866,0.9959,,
binary,rf_top_10_features,10,Naive Bayes,0.8652420099978677,0.081,0.016,0.9136454727637092,0.8105005728212611,0.6431,,
binary,rf_top_10_features,10,ANN (MLP),0.9768295861072284,16.273,0.035,0.9846814109391642,0.995376938122885,0.9798,,
binary,rf_top_10_features,10,XGBoost,0.9968727048733682,1.155,0.019,0.9979491641290162,0.9998952156229625,0.9961,,
binary,rf_top_10_features,10,Gradient Boosting,0.9923712952213983,21.648,0.046,0.9950006210408645,0.9984676022229809,0.9844,,
binary,rf_top_15_features,15,Logistic Regression,0.9056599303466085,4.8,0.004,0.9375490103823594,0.890133959452327,0.8337,,
binary,rf_top_15_features,15,KNN,0.9967779383543794,1.095,10.429,0.9978887232985594,0.9980008988171009,0.9933,,
binary,rf_top_15_features,15,Decision Tree,0.9969674713923571,0.695,0.007,0.9980116813719399,0.9968940497997454,0.9957,,
binary,rf_top_15_features,15,Random Forest,0.9975597621360374,4.6,0.071,0.9984006956197693,0.9998681036356297,0.9956,,
binary,rf_top_15_features,15,Naive Bayes,0.8351062569594162,0.153,0.017,0.8966623114384131,0.8074690148716198,0.5053,,
binary,rf_top_15_features,15,ANN (MLP),0.9848136653320382,34.289,0.031,0.9899982836368175,0.9965546275885622,0.9844,,
binary,rf_top_15_features,15,XGBoost,0.997299154208818,0.791,0.014,0.9982293737574552,0.9999147862398708,0.996,,
binary,rf_top_15_features,15,Gradient Boosting,0.9928214361865952,24.909,0.047,0.9952926188885609,0.998784619205812,0.9874,,
binary,rf_top_20_features,20,Logistic Regression,0.9049965647136866,3.858,0.004,0.9342579841301069,0.9778119780185663,0.9706,,
binary,rf_top_20_features,20,KNN,0.9967542467246322,0.028,5.802,0.9978736283350665,0.9977618678009252,0.9926,,
binary,rf_top_20_features,20,Decision Tree,0.9969674713923571,0.468,0.006,0.9980119284294234,0.9968707938774878,0.9953,,
binary,rf_top_20_features,20,Random Forest,0.9975360705062901,3.667,0.053,0.9983851433185305,0.9999098869881088,0.9956,,
binary,rf_top_20_features,20,Naive Bayes,0.8896443886374944,0.077,0.016,0.9305315277694923,0.9218356313452761,0.6354,,
binary,rf_top_20_features,20,ANN (MLP),0.9885806344618446,44.933,0.033,0.9924875311720698,0.9979500915893073,0.9888,,
binary,rf_top_20_features,20,XGBoost,0.9974886872467957,0.352,0.009,0.9983537816431123,0.9999222670682106,0.9961,,
binary,rf_top_20_features,20,Gradient Boosting,0.9929635859650785,18.016,0.042,0.9953849739724963,0.9989186671427241,0.9883,,
binary,spearman_top_10_features,10,Logistic Regression,0.8153948210097373,0.854,0.002,0.8699729666588792,0.8802638501661025,0.835,,
binary,spearman_top_10_features,10,KNN,0.9095927408846455,0.444,13.216,0.9438460180116546,0.9529499844763886,0.6323,,
binary,spearman_top_10_features,10,Decision Tree,0.8666871994124475,0.097,0.005,0.9087429655698092,0.954676213170232,0.8565,,
binary,spearman_top_10_features,10,Random Forest,0.866853040820678,2.342,0.041,0.9088490982223952,0.9567418345803969,0.8571,,
binary,spearman_top_10_features,10,Naive Bayes,0.8323343362789927,0.072,0.011,0.8950856126306427,0.9007304464590642,0.4943,,
binary,spearman_top_10_features,10,ANN (MLP),0.835982847260063,54.224,0.032,0.8855532227934734,0.9401787202334749,0.8502,,
binary,spearman_top_10_features,10,XGBoost,0.8652183183681206,0.247,0.008,0.9076985479029772,0.9559314322083892,0.8547,,
binary,spearman_top_10_features,10,Gradient Boosting,0.8631097633206188,7.052,0.045,0.9063320688648964,0.9526015709894751,0.8477,,
binary,spearman_top_15_features,15,Logistic Regression,0.8550309175768201,1.088,0.004,0.9007992477668078,0.9217872194107237,0.8308,,
binary,spearman_top_15_features,15,KNN,0.9126489611220356,0.673,21.688,0.9457355213775848,0.9541072308981962,0.6393,,
binary,spearman_top_15_features,15,Decision Tree,0.8681560804567746,0.129,0.005,0.9098361983765655,0.955506075941507,0.8566,,
binary,spearman_top_15_features,15,Random Forest,0.8682508469757635,2.251,0.046,0.9099010061405356,0.9574679359806265,0.8568,,
binary,spearman_top_15_features,15,Naive Bayes,0.8838162477196806,0.064,0.013,0.9286192541701843,0.798573741811295,0.5406,,
binary,spearman_top_15_features,15,ANN (MLP),0.8626359307256746,55.567,0.027,0.9059895579985083,0.9525419649787328,0.8473,,
binary,spearman_top_15_features,15,XGBoost,0.8669241157099197,0.274,0.009,0.9089995949777238,0.9566339159862149,0.8538,,
binary,spearman_top_15_features,15,Gradient Boosting,0.8631808382098605,8.48,0.045,0.9065367622068653,0.952467544785619,0.8427,,
binary,spearman_top_20_features,20,Logistic Regression,0.8549361510578313,1.639,0.004,0.9007215241183624,0.9411132214598406,0.831,,
binary,spearman_top_20_features,20,KNN,0.9129095690492549,0.029,5.701,0.9459173164631455,0.9599613011891086,0.6386,,
binary,spearman_top_20_features,20,Decision Tree,0.8439195432253784,0.18,0.006,0.8863471690301211,0.9631670744201931,0.9932,,
binary,spearman_top_20_features,20,Random Forest,0.8441564595228506,2.828,0.056,0.8865431715478285,0.9655446940296191,0.9931,,
binary,spearman_top_20_features,20,Naive Bayes,0.887014617735554,0.087,0.02,0.9304354168186127,0.7808182511099382,0.5547,,
binary,spearman_top_20_features,20,ANN (MLP),0.840034115946836,29.553,0.026,0.8837785733957587,0.9611425346952714,0.9785,,
binary,spearman_top_20_features,20,XGBoost,0.8432798692222038,0.317,0.009,0.88590696631539,0.9651182697382719,0.9912,,
binary,spearman_top_20_features,20,Gradient Boosting,0.8389206093487172,9.635,0.046,0.8828869175781586,0.9609956394175541,0.9782,,
binary,chi2_top_10_features,10,Logistic Regression,0.8664976663744699,3.101,0.003,0.9188122235509386,0.7522519575273992,0.4688,,
binary,chi2_top_10_features,10,KNN,0.9960434978322159,0.423,7.423,0.9974071141335569,0.9973161880219815,0.9922,,
binary,chi2_top_10_features,10,Decision Tree,0.9959724229429743,0.431,0.005,0.9973591822785597,0.9959088764010059,0.9937,,
binary,chi2_top_10_features,10,Random Forest,0.9970385462815987,3.803,0.043,0.9980592774301728,0.9994417523052563,0.9942,,
binary,chi2_top_10_features,10,Naive Bayes,0.8252742306143239,0.052,0.01,0.8969468315517362,0.5676811543357447,0.2739,,
binary,chi2_top_10_features,10,ANN (MLP),0.9584685730531404,26.004,0.027,0.9724392736420093,0.9865958614051973,0.953,,
